Sentiment,Text
Positive,"Life isn't about waiting for the storm to pass, it's about learning how to dance in the rain. Don't be afraid to get vaccinated. The government has studied their plans. We must cease playing the BLAME game since our enemy is invisible.
#RESBAKUNA #PFIZER"
Positive,"Thank You Lord, I'm fully vaccinated na! ??

#ResBakuna #GetVaccinatedNow"
Positive,First vaccine done! #Resbakuna #Bakuna https://t.co/XLg7QA7tFs
Positive,Get vaccinated as soon as it’s your turn!?? #CathayYSS #CYDC #RESBAKUNA #BIDASolusyon #Covid19PH https://t.co/uzq9IVH4nB
Positive,"Inoculation day. ??Finally, after being put off due to contracting the virus, we got our 1st jab. 
#CovidVaccine #GetVaccinatedNow #ResBakuna https://t.co/U2NZZHvG2v"
Positive,"
Fully vaxed! #RESBAKUNA #GetVaccinatedNow #Pfizer https://t.co/fi6PtaPebH"
Negative,"Got my first dose of the vaccine a few days ago and omfg, I’m dying #Pfizer"
Positive,Got my booster on the first day I was eligible. Got a flu shot at the same time.#BoosterShots #GetVaccinated #Pfizer https://t.co/lLCbh1YjT6
Positive,Fully vaxxed ?? pwede na i-deploy ?? #Pfizer #vaccinated https://t.co/hFwV26BTpW
Negative,"Not feeling well after my second dose yesterday. I hope I get better soon.
#FullyVaccinated #pfizer https://t.co/36b5U8Ye3T"
Positive,2nd dose done check #FullyVaccinated #pfizer
Positive,"SECOND DOSE heart 
#pfizer https://t.co/goafqnAf5j"
Positive,"Oh, happy day! #VaccinesWork #Pfizer https://t.co/pTe4t83rbk"
Positive,"Had my First Dose of Pfizer Vaccine

#GetVaccinated #Pfizer https://t.co/6G72vFRpsG"
Positive,Fully vaccinated na si me!!! heart #Pfizer https://t.co/I8iPojTiXJ
Positive,"I got my first dose of covid-19 vaccine
#Pfizer"
Positive,"Got my 1st dose today????
#Pfizer"
Positive,"Just got my first dose. ??
#Pfizer https://t.co/TKqCReTqlc"
Positive,"got my 1st dose ????
#Pfizer"
Positive,"1st Dose check

#Pfizer ??"
Positive,I got #Pfizer vaccinated. https://t.co/WPzqHdAg5W
Positive,Finally 1st dose done #Pfizer
Positive,2nd dose of Pfizer vaccine completed! #CovidVaccine #COVIDVaccination #Pfizer #mmu https://t.co/4CVUEWergr
Positive,Finally fully vaccinated #Pfizer  ????
Positive,"ang cute ng band aid!! ????

get your vaccine shots guys!!! ????

#1stDose #Pfizer https://t.co/uWdWm53tbf"
Positive,1st dose #vaccinated #Pfizer https://t.co/Tt1LxSJRi7
Positive,"2nd dose done! ??
#fullyvaxxed 
#Pfizer https://t.co/2SLfTR6bg8"
Positive,"Fully Vaccinated heart Thank You, Lord! #Pfizer"
Positive,"2nd dose done heart
#pfizer"
Positive,"2nd dose done! Waiting to discharge 
#Pfizer"
Positive,2nd dose done!! this girl is now fully vaxxed. ?? #pfizer https://t.co/6K9GdEcGLt
Positive,"got my second dose, yaaassss ?? i’m fully vaccinated!! #Pfizer"
Positive,"Fully vaccinated!??
#Pfizer https://t.co/IXuJm7uuKc"
Positive,okayy finally fully vaccinated!! #Pfizer
Positive,"Booked for my second shot ??

#Pfizer #COVIDVaccination"
Negative,"Worst immediate effects of #Pfizer dose 1
• temporary numbness on RHS face + around right eye 
• bruised feeling on head+tender heaviness with phantom headaches
• throat tightness,like someone firmly but slowly strangling your neck
• lightheaded
• pins+needles in vaccine arm https://t.co/DF9pCdyvRg"
Positive,"Finally #vaccinated … YaaaaaaaaaaaaaY ????????????
#Pfizer
#Covid_19"
Negative,"Body pain and fever??
#Pfizer"
Positive,"Second Dose is coming????
#Pfizer"
Positive,Got my jab #GetVaccinated #Pfizer
Positive,"Finally I got my second dose vaccination!!??

#Pfizer #GetVaccinated 
#COVIDVaccination https://t.co/8CI9FBFCgD"
Positive,"Finally! Im done with my second dose of vaccine.

#pfizer. https://t.co/6D8ZfX4PKE"
Positive,Got my first dose of vaccine.??#pfizer
Positive,"FULLY VACCINATED 
2ND DOSE DONE??
#FullyVaccinated 
#Pfizer https://t.co/N4913ogYYk"
Positive,Got my first shot of #Pfizer today!
Positive,Bring it! Let’s wrap this up!!! #COVID #Pfizer https://t.co/lRUyYRHOgY
Positive,"Got my 1st vaccine ????
#Pfizer #GetVaccinated https://t.co/o7g3zoOwR1"
Negative,Undesired side effects brought to you by #pfizer https://t.co/M4vCOV0g3A
Positive,Done check with my first vaccine dose #Pfizer Currently at 60% of my full powers now ?? https://t.co/IN4Ue6OmZq
Positive,Thank goodness for #Pfizer https://t.co/WvLvEC4DMh
Positive,"First dose
team #Pfizer https://t.co/WHIV7lSiDL"
Positive,Fully vaccinated heart #pfizer
Positive,Just had my second covid shot! Woohoo I’m finally fully vaxxed! #Pfizer #GetVaccinated
Positive,just got vaxxed #pfizer ??
Positive,"Vaccination later??????
#COVID19 
#Pfizer"
Positive,"#NewProfilePic

Finally Vaccinated!?? #Pfizer https://t.co/ErnbqFIMOf"
Negative,1st dose brought everything back 2nd dose of #Pfizer knocked out my senses again. All I ask for Christmas is to be normal. Food just isn’t appealing anymore & I feel like a zombie watching people enjoy their food & then there’s me ?? “does it taste really good?”?? #COVID19
Positive,"got my second dose today! 
#vaccinated #Pfizer https://t.co/nzGu4IfmzF"
Negative,Omg i feel like shit. Eff u #Pfizer
Positive,"Fully Vaccinated??thanks gheart
#Pfizer"
